Zairyo_Kosei_ID,Shiyo_ID,Sort_No,Zairyo_ID,Zairyo_Keisu,Teisyaku,Tani_ID,Konpo_Calc_Flg,Setsumei,Zairyo_Keisu_Default,Teisyaku_Default,Tani_ID_Default,Konpo_Calc_Flg_Default,Setsumei_Default,Zairyo_Tanka_Ref_Col1,Zairyo_Tanka_Ref_Col2,Zairyo_Tanka_Ref_Col3,Zairyo_Tanka_Ref_Col4,Sort_No_Default,Default_Flg,Disable_Flg,Delete_Flg,UPDATE_DATE,UPDATE_STAFF
10052,510604053,1,51040053,4.9383,,17,1,,4.9383,,17,1,,,,,,1,1,0,0,,
10053,510604054,1,51040054,7.4074,,17,1,,7.4074,,17,1,,,,,,1,1,0,0,,
10054,510605001,1,51050001,4.8516,,17,1,,4.8516,,17,1,,,,,,1,1,0,0,,
10055,510613001,1,51130001,4,,17,1,,4,,17,1,,,,,,1,1,0,0,,
10056,510613002,1,51130002,4,,17,1,,4,,17,1,,,,,,1,1,0,0,,
10057,510613003,1,51130003,4,,17,1,,4,,17,1,,,,,,1,1,0,0,,
10058,510613004,1,51130004,4,,17,1,,4,,17,1,,,,,,1,1,0,0,,
10059,510613005,1,51130005,4,,17,1,,4,,17,1,,,,,,1,1,0,0,,
10060,510614001,1,51140001,1,,17,1,,1,,17,1,,,,,,1,1,0,0,,
10061,510614002,1,51140002,1,,17,1,,1,,17,1,,,,,,1,1,0,0,,
10062,510614003,1,51140003,1,,17,1,,1,,17,1,,,,,,1,1,0,0,,
10063,510614004,1,51140004,1,,17,1,,1,,17,1,,,,,,1,1,0,0,,
10064,510614005,1,51140005,1,,17,1,,1,,17,1,,,,,,1,1,0,0,,
10065,510614006,1,51140006,1,,17,1,,1,,17,1,,,,,,1,1,0,0,,
10066,510623001,1,51230001,0.5495,,11,1,,0.5495,,11,1,,,,,,1,1,0,0,,
10067,510623002,1,51230002,0.5495,,11,1,,0.5495,,11,1,,,,,,1,1,0,0,,
10068,510623003,1,51230003,0.5495,,11,1,,0.5495,,11,1,,,,,,1,1,0,0,,
10069,510623004,1,51230004,0.5495,,11,1,,0.5495,,11,1,,,,,,1,1,0,0,,
10070,510623005,1,51230005,0.5495,,11,1,,0.5495,,11,1,,,,,,1,1,0,0,,
10071,510623006,1,51230006,0.5495,,11,1,,0.5495,,11,1,,,,,,1,1,0,0,,
10072,510623007,1,51230007,0.5495,,11,1,,0.5495,,11,1,,,,,,1,1,0,0,,
10073,510623008,1,51230008,0.5495,,11,1,,0.5495,,11,1,,,,,,1,1,0,0,,
10074,510623009,1,51230009,0.5495,,11,1,,0.5495,,11,1,,,,,,1,1,0,0,,
10075,510623010,1,51230010,0.5,,11,1,,0.5,,11,1,,,,,,1,1,0,0,,
10076,510623011,1,51230011,0.5,,11,1,,0.5,,11,1,,,,,,1,1,0,0,,
10077,510623012,1,51230012,0.5495,,11,1,,0.5495,,11,1,,,,,,1,1,0,0,,
10078,510625001,1,51250001,0.5495,,11,1,,0.5495,,11,1,,,,,,1,1,0,0,,
10079,510625002,1,51250002,0.5495,,11,1,,0.5495,,11,1,,,,,,1,1,0,0,,
10080,510625003,1,51250003,0.5495,,11,1,,0.5495,,11,1,,,,,,1,1,0,0,,
10081,510625004,1,51250004,0.5495,,11,1,,0.5495,,11,1,,,,,,1,1,0,0,,
10082,510627001,1,51270001,0.5495,,11,1,,0.5495,,11,1,,,,,,1,1,0,0,,
10083,510627002,1,51270002,0.5495,,11,1,,0.5495,,11,1,,,,,,1,1,0,0,,
10084,510627003,1,51270003,0.5495,,11,1,,0.5495,,11,1,,,,,,1,1,0,0,,
10085,510627004,1,51270004,0.5495,,11,1,,0.5495,,11,1,,,,,,1,1,0,0,,
10086,510627005,1,51270005,0.5495,,11,1,,0.5495,,11,1,,,,,,1,1,0,0,,
10087,510627006,1,51270006,0.5495,,11,1,,0.5495,,11,1,,,,,,1,1,0,0,,
10088,510631001,1,51310001,0.5495,,11,1,,0.5495,,11,1,,,,,,1,1,0,0,,
10089,510631002,1,51310002,0.6173,,11,1,,0.6173,,11,1,,,,,,1,1,0,0,,
10090,510631003,1,51310003,0.7576,,11,1,,0.7576,,11,1,,,,,,1,1,0,0,,
10091,510631004,1,51310004,0.5495,,11,1,,0.5495,,11,1,,,,,,1,1,0,0,,
10092,510631013,1,51310017,0.5495,,11,1,,0.5495,,11,1,,,,,,1,1,0,0,,
10093,510631006,1,51310006,0.5495,,11,1,,0.5495,,11,1,,,,,,1,1,0,0,,
10094,510631012,1,51310016,0.5495,,11,1,,0.5495,,11,1,,,,,,1,1,0,0,,
10095,510631007,1,51310007,0.5495,,11,1,,0.5495,,11,1,,,,,,1,1,0,0,,
10096,510631010,1,51310010,0.5495,,11,1,,0.5495,,11,1,,,,,,1,1,0,0,,
10097,510653034,1,51530034,0.5495,,11,1,,0.5495,,11,1,,,,,,1,1,0,0,,
10098,510701001,1,51010001,10.8922,,17,1,,10.8922,,17,1,,,,,,1,1,0,0,,
10099,510701002,1,51010002,10.8922,,17,1,,10.8922,,17,1,,,,,,1,1,0,0,,
10100,510701003,1,51010003,10.8922,,17,1,,10.8922,,17,1,,,,,,1,1,0,0,,
10101,510701004,1,51010005,4.9383,,17,1,,4.9383,,17,1,,,,,,1,1,0,0,,
10102,510701005,1,51010006,11.1111,,17,1,,11.1111,,17,1,,,,,,1,1,0,0,,
10103,510701006,1,51010007,7.4074,,17,1,,7.4074,,17,1,,,,,,1,1,0,0,,
10104,510701007,1,51010008,4.9383,,17,1,,4.9383,,17,1,,,,,,1,1,0,0,,
10105,510701008,1,51010009,4.9383,,17,1,,4.9383,,17,1,,,,,,1,1,0,0,,
10106,510701009,1,51010010,4.9383,,17,1,,4.9383,,17,1,,,,,,1,1,0,0,,
