Zairyo_Kosei_ID,Shiyo_ID,Sort_No,Zairyo_ID,Zairyo_Keisu,Teisyaku,Tani_ID,Konpo_Calc_Flg,Setsumei,Zairyo_Keisu_Default,Teisyaku_Default,Tani_ID_Default,Konpo_Calc_Flg_Default,Setsumei_Default,Zairyo_Tanka_Ref_Col1,Zairyo_Tanka_Ref_Col2,Zairyo_Tanka_Ref_Col3,Zairyo_Tanka_Ref_Col4,Sort_No_Default,Default_Flg,Disable_Flg,Delete_Flg,UPDATE_DATE,UPDATE_STAFF
7610,317020011,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7611,317020012,1,2020001,0.6511,,,,,0.6511,,,,,,,,,1,1,0,0,,
7612,317020012,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7613,317020013,1,2020001,0.6105,,,,,0.6105,,,,,,,,,1,1,0,0,,
7614,317020013,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7615,317020014,1,2020001,0.6105,,,,,0.6105,,,,,,,,,1,1,0,0,,
7616,317020014,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7617,317020015,1,2020001,0.615,,,,,0.615,,,,,,,,,1,1,0,0,,
7618,317020015,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7619,317020016,1,2020001,0.6106,,,,,0.6106,,,,,,,,,1,1,0,0,,
7620,317020016,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7621,317021001,1,2020002,0.2198,,,,,0.2198,,,,,,,,,1,1,0,0,,
7622,317021001,2,2300001,0.084,,,,,0.084,,,,,,,,,2,1,0,0,,
7623,317021002,1,2020002,0.293,,,,,0.293,,,,,,,,,1,1,0,0,,
7624,317021002,2,2300001,0.126,,,,,0.126,,,,,,,,,2,1,0,0,,
7625,317021003,1,2020002,0.3663,,,,,0.3663,,,,,,,,,1,1,0,0,,
7626,317021003,2,2300001,0.168,,,,,0.168,,,,,,,,,2,1,0,0,,
7627,317021004,1,2020002,0.4579,,,,,0.4579,,,,,,,,,1,1,0,0,,
7628,317021004,2,2300001,0.21,,,,,0.21,,,,,,,,,2,1,0,0,,
7629,317021005,1,2020002,0.5535,,,,,0.5535,,,,,,,,,1,1,0,0,,
7630,317021005,2,2300001,0.252,,,,,0.252,,,,,,,,,2,1,0,0,,
7631,317021006,1,2020002,0.5495,,,,,0.5495,,,,,,,,,1,1,0,0,,
7632,317021006,2,2300001,0.252,,,,,0.252,,,,,,,,,2,1,0,0,,
7633,317021011,1,2020002,0.7327,,,,,0.7327,,,,,,,,,1,1,0,0,,
7634,317021011,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7635,317021012,1,2020002,0.6511,,,,,0.6511,,,,,,,,,1,1,0,0,,
7636,317021012,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7637,317021013,1,2020002,0.6105,,,,,0.6105,,,,,,,,,1,1,0,0,,
7638,317021013,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7639,317021014,1,2020002,0.6105,,,,,0.6105,,,,,,,,,1,1,0,0,,
