Shiyo_Shubetsu_Kbn_ID,Koshu_ID,Shiyo_Shubetsu_ID,Seko_Tanka_Kbn_ID,Default_Flg,Disable_Flg,Delete_Flg,UPDATE_DATE,UPDATE_STAFF,Shiyo_Shubetsu_Nm
110,11,461,652,1,0,0,,,ﾆｰﾄﾞﾙﾊﾟﾝﾁｶｰﾍﾟｯﾄ
111,11,462,652,1,0,0,,,人工芝
112,11,471,654,1,0,0,,,床下地材
113,11,472,653,1,0,0,,,腰壁・他ｼｰﾄ
114,11,491,653,1,0,0,,,ｿﾌﾄ巾木
115,11,492,653,1,0,0,,,ｻｻﾗ巾木
116,11,493,653,1,0,0,,,ﾓｰﾙ･見切･他部材
117,11,494,653,1,0,0,,,ｴｱｺﾝ排水･他部材
118,12,401,651,1,0,0,,,ｺﾝﾎﾟｼﾞｼｮﾝﾋﾞﾆﾙ床ﾀｲﾙ
119,12,402,651,1,0,0,,,ｺﾝﾎﾟｼﾞｼｮﾝﾋﾞﾆﾙ床ﾀｲﾙ(特殊機能)
120,12,403,651,1,0,0,,,単層ﾋﾞﾆﾙ床ﾀｲﾙ
121,12,404,651,1,0,0,,,複層ﾋﾞﾆﾙ床ﾀｲﾙ
122,12,405,651,1,0,0,,,複層ﾋﾞﾆﾙ床ﾀｲﾙ(特殊機能)
123,12,406,651,1,0,0,,,置敷ﾋﾞﾆﾙ床ﾀｲﾙ
124,12,407,651,1,0,0,,,薄型置敷きﾋﾞﾆﾙ床ﾀｲﾙ
125,12,408,651,1,0,0,,,多機能ﾌﾟﾘﾝﾄﾀｲﾙ
126,12,409,651,1,0,0,,,織物ﾋﾞﾆﾙ床ﾀｲﾙ
127,12,410,651,1,0,0,,,高機能ﾀｲﾙ
128,12,411,651,1,0,0,,,ﾘﾉﾘｳﾑ床ﾀｲﾙ
129,12,412,651,1,0,0,,,ｺﾙｸﾀｲﾙ
130,12,413,651,1,0,0,,,ﾗﾊﾞｰﾀｲﾙ
131,12,414,651,1,0,0,,,視覚障がい者誘導用ﾀｲﾙ
132,12,421,651,1,0,0,,,単層ﾋﾞﾆﾙ床ｼｰﾄ
133,12,422,651,1,0,0,,,単層ﾋﾞﾆﾙ床ｼｰﾄ(特殊機能)
134,12,423,651,1,0,0,,,複層ﾋﾞﾆﾙ床ｼｰﾄ
135,12,424,651,1,0,0,,,複層ﾋﾞﾆﾙ床ｼｰﾄ(特殊機能)
136,12,425,651,1,0,0,,,発泡複層ﾋﾞﾆﾙ床ｼｰﾄ
137,12,426,651,1,0,0,,,発泡複層ﾋﾞﾆﾙ床ｼｰﾄ(特殊機能)
138,12,427,651,1,0,0,,,ｸｯｼｮﾝﾌﾛｱ
139,12,428,651,1,0,0,,,織物ﾋﾞﾆﾙ床ｼｰﾄ
